title,author,genre,url_book,url_image
Нові Темні Віки. Книга 1. Колонія,Макс Кідрук,Художня література,/catalog/naukova-fantastyka/novi-temni-viky-knyha-1-koloniya/,https://book-ye.com.ua//upload/resize_cache/iblock/c29/230_355_1/fd41bdb6_82cb_11ed_8177_0050568ef5e6_1142a109_883d_11ed_8177_0050568ef5e6.jpg
Різдво з червоним кардиналом,Фенні Флеґґ,Художня література,/catalog/suchasna-zarubizhna-proza/rizdvo-z-chervonym-kardynalom/,https://book-ye.com.ua//upload/resize_cache/iblock/98d/230_355_1/6be325c1_5f7f_11ed_8175_0050568ef5e6_ae9b891c_5f7f_11ed_8175_0050568ef5e6.jpg
Кров і попіл. Книга 3. Корона з позолочених кісток,Дженніфер Л. Арментраут,Художня література,/catalog/fentezi/krov-i-popil-knyha-3-korona-z-pozolochenykh-kistok/,https://book-ye.com.ua//upload/resize_cache/iblock/7c7/230_355_1/a97ee468_449c_11ed_8175_0050568ef5e6_929fd85d_449d_11ed_8175_0050568ef5e6.jpg
Чотири скарби неба (м'яка обкладинка),Дженні Тінхвей Чжан,Художня література,/catalog/istorychni-romany/chotyry-skarby-neba-m-yaka-obkladynka/,https://book-ye.com.ua//upload/resize_cache/iblock/b42/230_355_1/b91545ef_334e_11ed_8175_0050568ef5e6_5357bfed_8119_11ed_8177_0050568ef5e6.jpg
Тисяча пам'ятних поцілунків,Тіллі Коул,Художня література,/catalog/lyubovni-romany/tysyacha-pam-yatnykh-potsilunkiv/,https://book-ye.com.ua//upload/resize_cache/iblock/d54/230_355_1/719a4ba5_0cde_11ed_8173_0050568ef5e6_f198770d_0cdf_11ed_8173_0050568ef5e6.jpg
"Матера вам не наймичка, або Чому діти це — прекрасно...",Катя Бльостка,Художня література,/catalog/pedahohika-ta-vykhovannya/matera-vam-ne-najmychka-abo-chomu-dity-tse-prekrasno-/,https://book-ye.com.ua//upload/resize_cache/iblock/429/230_355_1/d982a9a6_f8f3_11eb_8150_0050568ef5e6_425ef70c_1230_11ec_8150_0050568ef5e6.jpg
Убивчий вплив,Майк Омер,Художня література,/catalog/mistychnyj-detektyv/ubyvchyj-vplyv/,https://book-ye.com.ua//upload/resize_cache/iblock/7dd/230_355_1/cce175bd_a23d_11ed_817a_0050568ef5e6_c3c5a429_a240_11ed_817a_0050568ef5e6.jpg
Кров і попіл. Книга 2. Королівство плоті й вогню,Дженніфер Л. Арментраут,Художня література,/catalog/fentezi/krov-i-popil-knyha-2-korolivstvo-ploti-j-vohnyu/,https://book-ye.com.ua//upload/resize_cache/iblock/dea/230_355_1/581c4de9_f2d2_11ec_8172_0050568ef5e6_75c57eee_f2d3_11ec_8172_0050568ef5e6.jpg
"Війна 2022. Щоденники, есеї, поезія",Сергій Жадан,Художня література,/catalog/memuary-lysty-shchodennyky/vijna-2022-shchodennyky-eseyi-poeziya/,https://book-ye.com.ua//upload/resize_cache/iblock/d7c/230_355_1/3fb5b491_7ac1_11ed_8177_0050568ef5e6_b404cce8_7ac5_11ed_8177_0050568ef5e6.jpg
Місто дівчат,Елізабет Ґілберт,Художня література,/catalog/suchasna-zarubizhna-proza/misto-divchat/,https://book-ye.com.ua//upload/resize_cache/iblock/e45/230_355_1/d6508466_e107_11e9_8121_000c29ae1566_fffeaf27_e107_11e9_8121_000c29ae1566.jpg
Незриме життя Адді Лярю,В. Е. Шваб,Художня література,/catalog/fentezi/nezryme-zhyttya-addi-lyaryu/,https://book-ye.com.ua//upload/resize_cache/iblock/145/230_355_1/1301c6ba_8443_11ec_8166_0050568ef5e6_264a5666_caab_11ec_816f_0050568ef5e6.jpg
Сад Гетсиманський (Шкільна бібліотека української та світової літератури),Іван Багряний,Художня література,/catalog/ukrayinska-klasyka/sad-getsymanskyj-shkilna-biblioteka-ukrayinskoyi-ta-svitovoyi-literatury/,https://book-ye.com.ua//upload/resize_cache/iblock/630/230_355_1/8142469a_2378_11ed_8173_000c29ae1566_4a6a5d3e_2379_11ed_8173_000c29ae1566.jpg
Ранкове сяйво,Сара Джіо,Художня література,/catalog/suchasna-zarubizhna-proza/rankove-syajvo/,https://book-ye.com.ua//upload/resize_cache/iblock/4ea/230_355_1/c405cbba_6cae_11ed_8176_0050568ef5e6_e6c6e977_7174_11ed_8176_0050568ef5e6.jpg
